sample3,,sample4,,
Wavelength (nm),%R,Wavelength (nm),Abs,
469,11.9167757,469,0.9240024686,
468,11.93936062,468,0.9226991534,
467,11.94736099,467,0.921869278,
466,11.96740055,466,0.9206932187,
465,12.00751781,465,0.9198107123,
464,12.02514076,464,0.9194586277,
463,12.05407333,463,0.9192692041,
462,12.07256413,462,0.9184811711,
461,12.05757618,461,0.9188796282,
460,12.08823013,460,0.9175798297,
459,12.09756279,459,0.9169535041,
458,12.10028744,458,0.9165514112,
457,12.14748573,457,0.9161627889,
456,12.15510082,456,0.9155038595,
455,12.16910839,455,0.9153814316,
454,12.16636276,454,0.9140635729,
453,12.18569756,453,0.914108634,
452,12.20480347,452,0.9141082764,
451,12.23453712,451,0.9121257067,
450,12.23594856,450,0.9111292958,
449,12.28447819,449,0.9112330079,
448,12.2701807,448,0.9106798768,
447,12.31486988,447,0.9093346,
446,12.33049965,446,0.9091902971,
445,12.34265137,445,0.9088259935,
444,12.34891891,444,0.9080244303,
443,12.35414791,443,0.9082037807,
442,12.38650799,442,0.9071551561,
441,12.41530323,441,0.9063705802,
440,12.41943264,440,0.9060962796,
439,12.43016338,439,0.9052807689,
438,12.45440102,438,0.9048138261,
437,12.48816395,437,0.9040890336,
436,12.48766422,436,0.9039490819,
435,12.4943428,435,0.902775526,
434,12.52009392,434,0.9018089175,
433,12.54024506,433,0.9013107419,
432,12.55852604,432,0.9002476335,
431,12.60559082,431,0.89901191,
430,12.61054897,430,0.8994488716,
429,12.62166691,429,0.8988085985,
428,12.62354088,428,0.8989179134,
427,12.65038967,427,0.8975055814,
426,12.66599274,426,0.897960484,
425,12.7043438,425,0.8961430788,
424,12.69452,424,0.8959717155,
423,12.71286488,423,0.8957509995,
422,12.72238922,422,0.8958283067,
421,12.75348949,421,0.8944282532,
420,12.74974632,420,0.8940991163,
419,12.80132389,419,0.8937299848,
418,12.78726578,418,0.8930330873,
417,12.79757595,417,0.8919701576,
416,12.79028034,416,0.8920788765,
415,12.8409996,415,0.8925068974,
414,12.84989262,414,0.891243577,
413,12.84598732,413,0.8919638395,
412,12.84996986,412,0.8904516101,
411,12.85260487,411,0.8903964758,
410,12.90164852,410,0.8907840252,
409,12.85847473,409,0.8912344575,
408,12.86195374,408,0.8913269043,
407,12.85185623,407,0.8905350566,
406,12.84883022,406,0.891374886,
405,12.84356308,405,0.891321063,
404,12.84673405,404,0.8914093375,
403,12.84530735,403,0.8908026814,
402,12.83242893,402,0.8926079869,
401,12.8137331,401,0.893604219,
400,12.73601627,400,0.8959248066,
399,12.66595554,399,0.8982123137,
398,12.61110878,398,0.89900738,
397,12.55619335,397,0.9013447762,
396,12.51558208,396,0.903829515,
395,12.37013721,395,0.9072746634,
394,12.281147,394,0.9110061526,
393,12.15589333,393,0.915443182,
392,12.03214645,392,0.9200094342,
391,11.85259151,391,0.9263013005,
390,11.69447708,390,0.9329291582,
389,11.49810028,389,0.9397534132,
388,11.30206108,388,0.9489328265,
387,11.0647459,387,0.9592472911,
386,10.79911995,386,0.9701486826,
385,10.43622875,385,0.9820563793,
384,10.16441441,384,0.9960886836,
383,9.803358078,383,1.010214567,
382,9.459712029,382,1.024497628,
381,9.093013763,381,1.042037487,
380,8.768374443,380,1.060634851,
379,8.438786507,379,1.075808048,
378,8.158531189,378,1.09102571,
377,7.82750988,377,1.107661605,
376,7.58197403,376,1.120486021,
375,7.382982254,375,1.132636547,
374,7.210228443,374,1.142777562,
373,7.102239132,373,1.1502285,
372,6.973171234,372,1.156094551,
371,6.936956406,371,1.157448649,
370,6.897996426,370,1.160635352,
369,6.869389057,369,1.160210133,
368,6.838561058,368,1.167086482,
367,6.870232582,367,1.165429473,
366,6.808505058,366,1.167950153,
365,6.779657364,365,1.16888833,
364,6.835202217,364,1.170152903,
363,6.782963276,363,1.165510416,
362,6.773817539,362,1.166502237,
361,6.837492466,361,1.16403091,
360,6.816208363,360,1.169338942,
359,6.780180454,359,1.163379788,
358,6.923315525,358,1.165017009,
357,6.750128269,357,1.168513417,
356,6.886647701,356,1.164672852,
355,6.951872349,355,1.159526825,
354,6.944592953,354,1.154484987,
353,6.91479826,353,1.155171514,
352,6.977037907,352,1.153606772,
351,7.20501709,351,1.148413897,
350,7.234620094,350,1.13763988,
349,7.388374805,349,1.127149343,
348,8.08529377,348,1.091286778,
347,8.132904053,347,1.08928144,
346,8.104715347,346,1.086947441,
345,8.177606583,345,1.088737845,
344,8.190061569,344,1.087628841,
343,8.157138824,343,1.087684155,
342,8.283184052,342,1.083433747,
341,8.210289001,341,1.084317565,
340,8.161854744,340,1.08600533,
339,8.205493927,339,1.086388588,
338,8.199332237,338,1.082403779,
337,8.180571556,337,1.083424926,
336,8.206550598,336,1.085837841,
335,8.254543304,335,1.085025549,
334,8.187972069,334,1.08221817,
333,8.161611557,333,1.08823216,
332,8.216071129,332,1.081134677,
331,8.273554802,331,1.084715366,
330,8.264492035,330,1.080849767,
329,8.272866249,329,1.083185792,
328,8.257349968,328,1.078821898,
327,8.263619423,327,1.082770109,
326,8.327690125,326,1.083476067,
325,8.320364952,325,1.081997395,
324,8.292264938,324,1.083357692,
323,8.333337784,323,1.079366446,
322,8.338968277,322,1.077071667,
321,8.289456367,321,1.079268456,
320,8.338195801,320,1.076871157,
319,8.364922523,319,1.074255466,
318,8.500869751,318,1.071870446,
317,8.465173721,317,1.070509791,
316,8.465407372,316,1.070574045,
315,8.509007454,315,1.072242856,
314,8.443974495,314,1.069608808,
313,8.531791687,313,1.070082307,
312,8.567092896,312,1.069793582,
311,8.578304291,311,1.071220875,
310,8.49472332,310,1.066664815,
309,8.513536453,309,1.067452669,
308,8.549674988,308,1.072031617,
307,8.564411163,307,1.071186185,
306,8.623081207,306,1.066593647,
305,8.587871552,305,1.064855337,
304,8.599143982,304,1.068012476,
303,8.563353539,303,1.065410018,
302,8.65291214,302,1.070489526,
301,8.616775513,301,1.064254522,
300,8.651873589,300,1.064194322,
299,8.600749969,299,1.066578388,
298,8.595092773,298,1.064523339,
297,8.702973366,297,1.06575954,
296,8.633422852,296,1.060254574,
295,8.791043282,295,1.064361095,
294,8.697037697,294,1.055566549,
293,8.713523865,293,1.064048052,
292,8.677031517,292,1.062224984,
291,8.628925323,291,1.060176134,
290,8.675398827,290,1.060380697,
289,8.700712204,289,1.064421058,
288,8.790423393,288,1.057688475,
287,8.742525101,287,1.059479356,
286,8.772374153,286,1.054247856,
285,8.887020111,285,1.053419709,
284,8.844370842,284,1.055395126,
283,8.834581375,283,1.051307797,
282,8.907530785,282,1.054824948,
281,8.920467377,281,1.048716784,
280,8.885790825,280,1.048146129,
279,8.876186371,279,1.048448205,
278,8.927759171,278,1.048769236,
277,8.945391655,277,1.047013044,
276,8.965276718,276,1.05010283,
275,8.973782539,275,1.050146699,
274,8.96040535,274,1.045478463,
273,9.01239872,273,1.045890927,
272,8.983424187,272,1.043238997,
271,8.969883919,271,1.048026085,
270,9.09558773,270,1.043674707,
269,9.042151451,269,1.041406631,
268,9.113059998,268,1.045005918,
267,9.046319962,267,1.043911457,
266,9.07675457,266,1.043553591,
265,9.114907265,265,1.040931463,
264,9.082754135,264,1.04278636,
263,9.108901024,263,1.042458892,
262,9.108237267,262,1.038469434,
261,9.14787674,261,1.0375247,
260,9.213028908,260,1.036889553,
259,9.240367889,259,1.032653451,
258,9.193242073,258,1.034942746,
257,9.281751633,257,1.030832529,
