sample3;;sample4;
Wavelength (nm);%R;Wavelength (nm);Abs
521;1.120.871.353;521;0.9496724606
520;1.121.894.741;520;0.9494826794
519;1.125.623.703;519;0.9483900666
518;1.125.906.754;518;0.94762218
517;1.128.898.239;517;0.9472631812
516;1.130.997.276;516;0.9469124079
515;1.133.630.466;515;0.9450088739
514;1.135.929.585;514;0.9443168044
513;1.137.063.789;513;0.9444283843
512;1.138.604.927;512;0.9431921244
511;1.140.986.252;511;0.942548275
510;1.140.821.552;510;0.942137301
509;1.143.071.461;509;0.9413405061
508;1.145.667.171;508;0.940710783
507;1.145.075.512;507;0.9400023818
506;1.148.959.064;506;0.9396519065
505;1.151.326.942;505;0.939537704
504;1.151.496.792;504;0.9385168552
503;1.151.072.121;503;0.9378676414
502;1.153.572.273;502;0.9381341338
501;1.155.335.808;501;0.9370422363
500;1.156.475.258;500;0.9365611076
499;1.157.763.195;499;0.9364591241
498;1.162.399.673;498;0.9354100227
497;1.161.663.437;497;0.9346336722
496;1.163.361.168;496;0.9342282414
495;1.163.382.816;495;0.9346598983
494;1.164.459.705;494;0.9332129955
493;116.517.601;493;0.9331107736
492;1.167.603.207;492;0.9324674606
491;116.699.543;491;0.9321993589
490;1.169.486.809;490;0.9319012761
489;1.171.169.472;489;0.9314225912
488;1.171.672.344;488;0.9303261042
487;1.172.272.682;487;0.9303686619
486;117.339.983;486;0.9300230742
485;1.176.108.742;485;0.9294890761
484;1.177.713.013;484;0.9289043546
483;1.176.737.404;483;0.9291175604
482;1.177.466.965;482;0.9288551211
481;1.177.221.298;481;0.9286658764
480;1.177.825.737;480;0.9281468391
479;1.179.796.124;479;0.9280077219
478;117.989.521;478;0.9283046126
477;1.180.842.209;477;0.9279868007
476;118.116.703;476;0.9268026352
475;1.181.804.276;475;0.9267793298
474;1.184.282.589;474;0.9266956449
473;1.184.174.538;473;0.9267522693
472;1.187.451.649;472;0.9251114726
471;1.190.666.199;471;0.9243791699
470;1.189.432.049;470;0.924110353
469;119.167.757;469;0.9240024686
468;1.193.936.062;468;0.9226991534
467;1.194.736.099;467;0.921869278
466;1.196.740.055;466;0.9206932187
465;1.200.751.781;465;0.9198107123
464;1.202.514.076;464;0.9194586277
463;1.205.407.333;463;0.9192692041
462;1.207.256.413;462;0.9184811711
461;1.205.757.618;461;0.9188796282
460;1.208.823.013;460;0.9175798297
459;1.209.756.279;459;0.9169535041
458;1.210.028.744;458;0.9165514112
457;1.214.748.573;457;0.9161627889
456;1.215.510.082;456;0.9155038595
455;1.216.910.839;455;0.9153814316
454;1.216.636.276;454;0.9140635729
453;1.218.569.756;453;0.914108634
452;1.220.480.347;452;0.9141082764
451;1.223.453.712;451;0.9121257067
450;1.223.594.856;450;0.9111292958
449;1.228.447.819;449;0.9112330079
448;122.701.807;448;0.9106798768
447;1.231.486.988;447;0.9093346
446;1.233.049.965;446;0.9091902971
445;1.234.265.137;445;0.9088259935
444;1.234.891.891;444;0.9080244303
443;1.235.414.791;443;0.9082037807
442;1.238.650.799;442;0.9071551561
441;1.241.530.323;441;0.9063705802
440;1.241.943.264;440;0.9060962796
439;1.243.016.338;439;0.9052807689
438;1.245.440.102;438;0.9048138261
437;1.248.816.395;437;0.9040890336
436;1.248.766.422;436;0.9039490819
435;124.943.428;435;0.902775526
434;1.252.009.392;434;0.9018089175
433;1.254.024.506;433;0.9013107419
432;1.255.852.604;432;0.9002476335
431;1.260.559.082;431;0.89901191
430;1.261.054.897;430;0.8994488716
429;1.262.166.691;429;0.8988085985
428;1.262.354.088;428;0.8989179134
427;1.265.038.967;427;0.8975055814
426;1.266.599.274;426;0.897960484
425;127.043.438;425;0.8961430788
424;1.269.452;424;0.8959717155
423;1.271.286.488;423;0.8957509995
422;1.272.238.922;422;0.8958283067
421;1.275.348.949;421;0.8944282532
420;1.274.974.632;420;0.8940991163
419;1.280.132.389;419;0.8937299848
418;1.278.726.578;418;0.8930330873
417;1.279.757.595;417;0.8919701576
416;1.279.028.034;416;0.8920788765
415;128.409.996;415;0.8925068974
414;1.284.989.262;414;0.891243577
413;1.284.598.732;413;0.8919638395
412;1.284.996.986;412;0.8904516101
411;1.285.260.487;411;0.8903964758
410;1.290.164.852;410;0.8907840252
409;1.285.847.473;409;0.8912344575
408;1.286.195.374;408;0.8913269043
407;1.285.185.623;407;0.8905350566
406;1.284.883.022;406;0.891374886
405;1.284.356.308;405;0.891321063
404;1.284.673.405;404;0.8914093375
403;1.284.530.735;403;0.8908026814
402;1.283.242.893;402;0.8926079869
401;128.137.331;401;0.893604219
400;1.273.601.627;400;0.8959248066
399;1.266.595.554;399;0.8982123137
398;1.261.110.878;398;0.89900738
397;1.255.619.335;397;0.9013447762
396;1.251.558.208;396;0.903829515
395;1.237.013.721;395;0.9072746634
394;12.281.147;394;0.9110061526
393;1.215.589.333;393;0.915443182
392;1.203.214.645;392;0.9200094342
391;1.185.259.151;391;0.9263013005
390;1.169.447.708;390;0.9329291582
389;1.149.810.028;389;0.9397534132
388;1.130.206.108;388;0.9489328265
387;110.647.459;387;0.9592472911
386;1.079.911.995;386;0.9701486826
385;1.043.622.875;385;0.9820563793
384;1.016.441.441;384;0.9960886836
383;9.803.358.078;383;1.010.214.567
382;9.459.712.029;382;1.024.497.628
381;9.093.013.763;381;1.042.037.487
380;8.768.374.443;380;1.060.634.851
379;8.438.786.507;379;1.075.808.048
378;8.158.531.189;378;109.102.571
377;782.750.988;377;1.107.661.605
376;758.197.403;376;1.120.486.021
375;7.382.982.254;375;1.132.636.547
374;7.210.228.443;374;1.142.777.562
373;7.102.239.132;373;11.502.285
372;6.973.171.234;372;1.156.094.551
371;6.936.956.406;371;1.157.448.649
370;6.897.996.426;370;1.160.635.352
369;6.869.389.057;369;1.160.210.133
368;6.838.561.058;368;1.167.086.482
367;6.870.232.582;367;1.165.429.473
366;6.808.505.058;366;1.167.950.153
365;6.779.657.364;365;116.888.833
364;6.835.202.217;364;1.170.152.903
363;6.782.963.276;363;1.165.510.416
362;6.773.817.539;362;1.166.502.237
361;6.837.492.466;361;116.403.091
360;6.816.208.363;360;1.169.338.942
359;6.780.180.454;359;1.163.379.788
358;6.923.315.525;358;1.165.017.009
357;6.750.128.269;357;1.168.513.417
356;6.886.647.701;356;1.164.672.852
355;6.951.872.349;355;1.159.526.825
354;6.944.592.953;354;1.154.484.987
353;691.479.826;353;1.155.171.514
352;6.977.037.907;352;1.153.606.772
351;720.501.709;351;1.148.413.897
350;7.234.620.094;350;113.763.988
349;7.388.374.805;349;1.127.149.343
348;808.529.377;348;1.091.286.778
347;8.132.904.053;347;108.928.144
346;8.104.715.347;346;1.086.947.441
345;8.177.606.583;345;1.088.737.845
344;8.190.061.569;344;1.087.628.841
343;8.157.138.824;343;1.087.684.155
342;8.283.184.052;342;1.083.433.747
341;8.210.289.001;341;1.084.317.565
340;8.161.854.744;340;108.600.533
339;8.205.493.927;339;1.086.388.588
338;8.199.332.237;338;1.082.403.779
337;8.180.571.556;337;1.083.424.926
336;8.206.550.598;336;1.085.837.841
335;8.254.543.304;335;1.085.025.549
334;8.187.972.069;334;108.221.817
333;8.161.611.557;333;108.823.216
332;8.216.071.129;332;1.081.134.677
331;8.273.554.802;331;1.084.715.366
330;8.264.492.035;330;1.080.849.767
329;8.272.866.249;329;1.083.185.792
328;8.257.349.968;328;1.078.821.898
327;8.263.619.423;327;1.082.770.109
326;8.327.690.125;326;1.083.476.067
325;8.320.364.952;325;1.081.997.395
324;8.292.264.938;324;1.083.357.692
323;8.333.337.784;323;1.079.366.446
322;8.338.968.277;322;1.077.071.667
321;8.289.456.367;321;1.079.268.456
320;8.338.195.801;320;1.076.871.157
319;8.364.922.523;319;1.074.255.466
318;8.500.869.751;318;1.071.870.446
317;8.465.173.721;317;1.070.509.791
316;8.465.407.372;316;1.070.574.045
315;8.509.007.454;315;1.072.242.856
314;8.443.974.495;314;1.069.608.808
313;8.531.791.687;313;1.070.082.307
312;8.567.092.896;312;1.069.793.582
311;8.578.304.291;311;1.071.220.875
310;849.472.332;310;1.066.664.815
309;8.513.536.453;309;1.067.452.669
308;8.549.674.988;308;1.072.031.617
307;8.564.411.163;307;1.071.186.185
306;8.623.081.207;306;1.066.593.647
305;8.587.871.552;305;1.064.855.337
304;8.599.143.982;304;1.068.012.476
303;8.563.353.539;303;1.065.410.018
302;865.291.214;302;1.070.489.526
