sample1;;sample2;
Wavelength (nm);Abs;Wavelength (nm);%R
571;0.7165777087;571;1.927.912.521
570;0.7156692147;570;1.932.192.612
569;0.7149765491;569;1.935.816.193
568;0.7148189545;568;1.937.200.737
567;0.7138369083;567;1.940.665.627
566;0.7136287689;566;1.942.064.095
565;0.712644279;565;1.945.807.266
564;0.7123880982;564;1.948.618.698
563;0.711609304;563;1.950.043.297
562;0.7111948133;562;1.952.305.984
561;0.7106396556;561;1.955.529.022
560;0.7098144889;560;1.958.120.728
559;0.7094303966;559;1.959.311.676
558;0.7088040113;558;1.963.938.713
557;0.7084207535;557;1.965.127.182
556;0.7076703906;556;1.968.074.989
555;0.7066121101;555;1.973.686.981
554;0.7066316605;554;1.973.928.452
553;0.7059716582;553;1.977.267.456
552;0.7046306133;552;1.981.445.885
551;0.7044294477;551;1.982.591.438
550;0.7036687732;550;1.986.618.042
549;0.7029970884;549;1.991.308.403
548;0.7020051479;548;1.995.087.242
547;0.7012786269;547;1.998.456.001
546;0.700763762;546;1.999.297.523
545;0.6998587847;545;2.004.113.579
544;0.6990593076;544;2.006.285.477
543;0.6985481977;543;2.009.885.788
542;0.69826442;542;2.012.731.361
541;0.6971117854;541;2.016.936.111
540;0.6965517402;540;2.019.223.213
539;0.6958124638;539;20.212.883
538;0.6953573823;538;2.024.147.797
537;0.6950660944;537;202.767.334
536;0.6940070391;536;2.030.878.448
535;0.6937859654;535;2.033.167.267
534;0.6932406425;534;2.034.718.704
533;0.692545712;533;2.037.890.053
532;0.6921033859;532;2.039.814.568
531;0.6915053129;531;2.043.569.756
530;0.6910994649;530;2.044.550.323
529;0.6907436848;529;204.579.792
528;0.690235436;528;2.047.687.531
527;0.6897415519;527;2.051.281.357
526;0.6892456412;526;2.051.743.698
525;0.689232707;525;2.054.055.595
524;0.6883830428;524;205.813.446
523;0.6878343821;523;2.061.544.418
522;0.6875784397;522;2.060.091.972
521;0.6869049668;521;2.064.444.351
520;0.6867129207;520;2.063.198.662
519;0.6858677268;519;206.680.336
518;0.685916245;518;2.068.637.276
517;0.6849979758;517;2.073.736.763
516;0.6846596003;516;2.074.398.804
515;0.6835425496;515;2.081.611.061
514;0.6829555631;514;208.295.002
513;0.6828494072;513;2.085.250.473
512;0.6821703911;512;2.086.453.247
511;0.681289196;511;2.090.742.874
510;0.6812140942;510;2.092.437.363
509;0.6799961329;509;2.094.271.278
508;0.6799720526;508;2.094.934.654
507;0.6794600487;507;2.098.740.387
506;0.6782479882;506;2.103.853.416
505;0.6781974435;505;2.108.286.476
504;0.6774679422;504;2.107.703.209
503;0.6767048836;503;2.112.326.622
502;0.6764377952;502;2.114.231.682
501;0.6758140326;501;2.119.001.389
500;0.6755077839;500;2.118.087.769
499;0.6747930646;499;2.122.081.566
498;0.6739861965;498;2.126.037.979
497;0.6735389233;497;2.128.629.494
496;0.6731173992;496;2.131.850.052
495;0.6720947623;495;2.135.051.727
494;0.6715046167;494;2.139.235.115
493;0.671125412;493;2.140.273.857
492;0.6703250408;492;2.142.457.581
491;0.6698072553;491;2.145.316.124
490;0.6687295437;490;2.149.744.606
